2023-08-05 12:13:12.653825	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 12:16:46.849062	https://ichs.ufop.br/matrizes-e-programas	77,87	60	1282	6	1249	1	3	52	25	1	4	0	0	0	1	
2023-08-05 12:17:06.816739	https://periodicos.ufop.br/caletroscopio/article/view/3692	83,86	9	19	4	7	1	3	3	8	0	0	0	0	1	1	
2023-08-05 12:16:51.486725	https://labiiex.ufop.br/publications/glicemia-e-qualidade-do-sono-em-idosos-participantes-de-um-pro-grama-de	82,14	7	44	4	32	2	5	1	7	0	0	0	0	0	0	
2023-08-05 12:16:53.521542	https://enut.ufop.br/media-gallery/detail/22530/46626	87,86	7	68	3	57	1	4	3	7	0	0	0	0	0	0	
2023-08-05 12:17:20.510115	https://periodicos.ufop.br/rest/article/view/3167/2435	87,88	5	10	4	7	1	1	0	2	0	0	0	0	0	0	
2023-08-05 12:17:21.789631	https://sigaa.ufopa.edu.br/sigaa/public/docente/monitoria.jsf?siape=1224452	65,65	9	14	5	9	1	4	2	1	1	0	0	0	0	0	
2023-08-05 12:17:19.308739	https://periodicos.ufop.br/raf/article/view/4300	88,52	8	30	3	11	1	3	3	15	0	0	0	0	1	1	
2023-08-05 12:17:26.642126	https://web.archive.org/web/20190109182807/http://www.caint.ufop.br/	77,5	4	1	2	1	0	0	2	0	0	0	0	0	0	0	
2023-08-05 12:17:24.362387	https://nano.ufop.br/news/v-semana-de-f%C3%ADsica-dos-materiais?page=2	84,63	21	58	14	42	1	5	6	11	0	0	0	0	0	0	
2023-08-05 12:17:10.300307	http://www2.decom.ufop.br/imobilis/voos-autonomos-com-o-ar-drone-parte-2-ros-ardrone_autonomy-tum_ardrone/#respond	80,05	74	265	14	193	1	13	58	58	0	0	0	0	1	1	
2023-08-05 12:17:31.291726	https://nite.ufop.br/news/apresenta%C3%A7%C3%A3o-nite-pol%C3%ADtica-de-inova%C3%A7%C3%A3o	83,13	16	48	11	36	1	3	3	8	1	0	0	0	0	1	
2023-08-05 12:17:16.969763	https://tv.ufop.br/mais-ufop-engenharia-ambiental	72,02	9	46	4	39	1	2	0	3	0	0	0	0	4	2	
2023-08-05 12:17:46.127017	https://github.com/ufopcsilab/projects/blame/a76641488947e01c3adad6008ca2fb95e1059e26/projects_undergrad.md	84,91	12	244	6	233	1	2	4	6	0	0	0	0	1	3	
