2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-06 08:46:56.930704	https://cinevilarica.ufop.br/2022/09/22/cinema-de-contagem-conheca-a-produtora-filmes-de-plastico%EF%BF%BC%EF%BF%BC/#respond	83,9	19	192	12	187	1	5	6	0	0	0	0	0	0	0	
2023-08-06 08:47:03.324745	https://www.caint.ufop.br/dicas	77,88	24	117	6	103	0	4	17	7	1	0	0	0	0	3	
2023-08-06 08:47:22.058657	https://decat.ufop.br/proficam-mestrado-profissional-em-instrumenta%C3%A7%C3%A3o-controle-e-automa%C3%A7%C3%A3o-de-processos-de	86,72	7	38	6	29	1	3	0	6	0	0	0	0	0	0	
2023-08-06 08:47:18.884636	https://enut.ufop.br/news/sele%C3%A7%C3%A3o-para-programa-de-monitoria-20231-departamento-de-alimentos	87,65	13	103	10	89	1	4	2	10	0	0	0	0	0	0	
2023-08-06 08:47:38.342943	https://culturafotograficaufop.blogspot.com/2020/08/dicadelives-dia-mundial-da-fotografia.html	87,5	3	0	2	0	0	0	1	0	0	0	0	0	0	0	
2023-08-06 08:47:39.046063	http://www.vestibular.ufop.br/index.php?option=com_content&view=category&id=225&Itemid=213	87,32	6	24	4	19	1	1	1	3	0	0	0	0	0	1	
2023-08-06 08:47:45.691825	https://zeppelin10.ufop.br/SistemaAcademico/MatrizCurricular?codCurso=CBL	86,07	4	1	3	1	0	0	1	0	0	0	0	0	0	0	
2023-08-06 08:47:41.544012	http://prograd.ufop.br/comunicados?page=3	64,92	18	98	4	83	1	5	8	8	1	0	0	0	4	2	
2023-08-06 08:46:59.353586	https://culturafotograficaufop.blogspot.com/search/label/Maureen%20Bisilliat	79,26	33	208	6	175	1	6	25	26	0	0	0	0	1	1	
2023-08-06 08:47:26.153869	https://nano.ufop.br/home?sv_list_box_delta=1459567428&pager_id=0&destination=home&page=1&type=month&month=2023-08&mini=2023-09	79,68	71	174	18	93	1	6	52	75	0	0	0	0	0	0	
2023-08-06 08:47:48.397224	https://propp.ufop.br/en/news?page=6	68,14	21	90	7	79	1	2	8	6	1	0	0	0	4	3	
2023-08-06 08:47:47.271521	http://dri.ufop.br/oportunidades/ed-encerrados?start=60	79,33	24	95	7	83	0	4	15	3	1	0	0	0	1	5	
2023-08-06 08:47:58.968940	https://ppgep.ufop.br/news/inscri%C3%A7%C3%B5es-abertas-para-o-processo-seletivo-2022-ppgepufop	86,37	15	37	14	29	1	3	0	5	0	0	0	0	0	0	
2023-08-06 08:48:01.602115	http://www.cead.ufop.br/index.php/gestao-de-polos?id=143	73,07	48	89	14	76	0	7	33	6	1	0	0	0	0	0	
2023-08-06 08:47:52.186938	http://dri.ufop.br/see/1319-ufv-abre-a-oferta-de-disciplinas-em-ingles-para-alunos-de-pos-graduacao-2021-2	77,3	25	116	9	106	0	5	15	2	1	0	0	0	0	3	
2023-08-06 08:47:44.746012	https://ppgedmat.ufop.br/home?type=month&month=2023-08&mini=2023-10	80,37	8	94	3	78	1	5	3	10	1	0	0	0	0	1	
2023-08-06 08:47:40.263255	https://culturafotograficaufop.blogspot.com/2022/12/Luiz%20Alfredo%20e%20o%20Holocausto%20Brasileiro%20.html	64,2	47	308	11	275	2	6	32	26	1	0	0	0	1	1	
2023-08-06 08:47:43.235995	https://www.ufop.br/taxonomy/term/29?page=10	63,79	52	123	17	109	1	6	29	6	1	0	0	0	4	2	
2023-08-06 08:48:15.995635	http://prace.ufop.br/assistencia-estudantil/moradia-estudantil/modalidade-de-gestao-compartilhada/baviera	71,96	18	76	7	61	1	4	6	9	0	0	0	0	4	2	
2023-08-06 08:48:25.137793	https://www.vestibular.ufop.br/index.php?option=com_content&view=category&id=186&Itemid=139	91,01	6	23	4	18	1	1	1	3	0	0	0	0	0	1	
2023-08-06 08:48:14.143072	https://ppea.ufop.br/news/semin%C3%A1rio-%E2%80%9Caplica%C3%A7%C3%A3o-de-filtros-comportamentais-para-detec%C3%A7%C3%A3o-de-ind%C3%ADcios-econ%C3%B4micos-de	83,27	16	66	12	51	1	3	2	11	1	0	0	0	0	1	
2023-08-06 08:48:15.769817	http://xr4goodlab.decom.ufop.br/?page_id=5615	76,1	18	208	11	190	1	8	4	8	0	0	0	0	2	2	
2023-08-06 08:48:21.064474	https://engenhariageotecnica.ufop.br/news/equipe-ufop-vence-o-rockbowl-2022	82,65	28	79	16	57	1	4	10	17	1	0	0	0	0	1	
2023-08-06 08:48:29.977862	https://www.dri.ufop.br/see/1115-programa-de-bolsas-de-estudos-na-california	77,36	23	110	7	99	0	5	15	3	1	0	0	0	0	3	
2023-08-06 08:48:06.795624	https://cinevilarica.ufop.br/2023/04/10/parte-2-da-1-edicao-da-mostra-francofonia/	83,49	15	146	8	142	1	4	6	0	0	0	0	0	0	0	
