2023-08-05 15:25:02.801084	#dataCadastro	link	porcentagem	totalErros	totalAvisos	marcacaoErros	marcacaoAvisos	comportamentoErros	comportamentoAvisos	conteudoInformacaoErros	conteudoInformacaoAvisos	apresentacaoDesignErros	apresentacaoDesignAvisos	multimidiaErros	multimidiaAvisos	formulariosErros	formulariosAvisos
2023-08-05 18:32:57.660716	http://www2.decom.ufop.br/imobilis/bateria-saiba-economizar-blog-motorola/#respond	79,92	72	180	11	149	1	13	59	17	0	0	0	0	1	1	
2023-08-05 18:33:28.231473	https://nano.ufop.br/people/ramon-silva-lara	85,57	11	53	5	34	1	5	5	14	0	0	0	0	0	0	
2023-08-05 18:33:35.448067	https://moodle.aberta.ufop.br/course/info.php?id=134&lang=pt_br	72,86	24	116	3	101	1	7	19	6	1	0	0	0	0	2	
2023-08-05 18:33:28.466599	http://biomas.ufop.br/egressos-2017-2020	74,24	11	122	4	116	1	3	5	3	1	0	0	0	0	0	
2023-08-05 18:33:35.622788	https://prograd.ufop.br/sala-aberta-docencia-no-ensino-superior	74,16	47	103	13	85	1	6	29	10	0	0	0	0	4	2	
2023-08-05 18:33:46.993674	http://www.soc.ufop.br	76,07	5	2	3	1	1	1	1	0	0	0	0	0	0	0	
2023-08-05 18:33:44.711875	https://raem.ufop.br/programa-mentoria	86,72	7	23	6	16	1	3	0	4	0	0	0	0	0	0	
2023-08-05 18:33:25.954922	https://culturafotograficaufop.blogspot.com/2022/06/Daniel%20Arroyo.html#comments	63,87	44	247	11	217	2	6	29	23	1	0	0	0	1	1	
2023-08-05 18:33:46.412684	http://proex.ufop.br/programas/administracao-em-acao-apoio-reestruturacao-economico-financeira-das-vitimas-da-queda-das-barragens-de-rejeito-da-samarco	63,18	19	58	7	49	1	5	6	2	1	0	0	0	4	2	
2023-08-05 18:33:24.316499	http://www2.decom.ufop.br/imobilis/controle-de-bugs-mantisbt/	81,44	71	251	8	215	1	14	61	21	0	0	0	0	1	1	
2023-08-05 18:33:41.466218	http://apps.ufop.br/	73,43	9	40	4	29	2	7	0	0	0	0	0	0	3	4	
2023-08-05 18:34:03.761065	http://www.soc.ufop.br/public/resolucao/mostrar/0000012431	79,4	15	15	5	13	1	0	7	1	0	0	0	0	2	1	
2023-08-05 18:33:59.742597	https://www.prograd.ufop.br/estagios/programa-de-estagio-grupo-bradesco-seguros	69,64	21	67	5	52	1	5	11	8	0	0	0	0	4	2	
2023-08-05 18:34:03.017311	https://moodle.aberta.ufop.br/course/view.php?id=14	79,44	15	83	3	69	1	7	10	4	1	0	0	0	0	3	
2023-08-05 18:33:53.034392	http://www.cead.ufop.br/index.php/cursos-de-graduacao/geografia?id=155	73,4	53	156	17	142	0	8	35	6	1	0	0	0	0	0	
2023-08-05 18:34:09.029187	https://www.prograd.ufop.br/portaria-e-atos-regulatorios-mif	71,17	17	68	4	53	1	5	8	8	0	0	0	0	4	2	
2023-08-05 18:34:10.731878	https://www.prograd.ufop.br/comunicados?page=1	64,92	18	98	4	83	1	5	8	8	1	0	0	0	4	2	
2023-08-05 18:34:16.681372	https://zeppelin10.ufop.br/SistemaAcademico/MatrizCurricular?codCurso=PED	86,07	4	1	3	1	0	0	1	0	0	0	0	0	0	0	
2023-08-05 18:33:24.849456	http://www.caint.ufop.br/en/read/1287-software-developed-by-ufop-and-harvard-ensures-monitoring-of-vaccination-in-usa	83,38	18	104	8	95	0	4	9	2	1	0	0	0	0	3	
2023-08-05 18:33:48.610522	http://dri.ufop.br/cpinter/membros	77,44	23	216	7	206	0	4	15	3	1	0	0	0	0	3	
2023-08-05 18:33:53.226977	http://www.caint.ufop.br/newsletter/newsletters/1644-boletim-informativo-1-semestre-de-2023	77,44	22	90	7	81	0	4	14	2	1	0	0	0	0	3	
2023-08-05 18:34:10.087494	https://www.dri.ufop.br/oportunidades/ed-encerrados?start=70	79,33	24	95	7	83	0	4	15	3	1	0	0	0	1	5	
2023-08-05 18:34:27.272021	https://moodle.aberta.ufop.br/course/index.php?categoryid=19&lang=es	83,34	16	82	3	69	0	7	12	1	1	0	0	0	0	5	
2023-08-05 18:34:27.771554	http://www.em.ufop.br/index.php/graduacao	87,74	5	108	3	104	0	1	1	3	1	0	0	0	0	0	
2023-08-05 18:34:26.343398	https://nano.ufop.br/publications/resistive-and-rectifying-effects-pulling-gold-atoms-thiol-gold-nanocontacts	79,42	22	65	15	46	2	6	5	13	0	0	0	0	0	0	
2023-08-05 18:33:44.049190	http://novosdireitos.ufop.br/tag/juliana-evangelista/	70,4	27	87	15	53	1	6	8	26	0	0	0	0	3	2	
2023-08-05 18:34:42.111584	http://www.moodle2.ufop.br/	80,46	13	68	3	52	1	10	8	1	1	0	0	0	0	5	
2023-08-05 18:33:45.744961	http://novosdireitos.ufop.br/requerimentos/	70,81	22	59	12	33	1	6	6	18	0	0	0	0	3	2	
2023-08-05 18:34:41.484077	https://cemar.ufop.br/Movie%20Time%3A%20o%20cinema%20como%20forma%20de%20letramento%20cr%C3%ADtico%20em%20l%C3%ADngua%20inglesa	79	9	37	6	29	1	3	1	5	1	0	0	0	0	0	
2023-08-05 18:34:48.392942	http://www.proex.ufop.br/extensao-universitaria/curricularizacao	73,85	19	80	8	70	1	5	6	3	0	0	0	0	4	2	
2023-08-05 18:34:33.544847	http://dri.ufop.br/projeto-welcome/imigracao	77,86	22	98	6	89	0	4	15	2	1	0	0	0	0	3	
2023-08-05 18:34:52.369115	https://moodle.aberta.ufop.br/course/index.php?categoryid=20&lang=es	83,41	17	141	4	128	0	7	12	1	1	0	0	0	0	5	
2023-08-05 18:34:18.370921	http://www.dri.ufop.br/en/read/1325-ufop-begins-its-offer-of-the-courses-through-the-international-virtual-mobility-program-destination-brazil	83,58	16	100	7	90	0	4	8	3	1	0	0	0	0	3	
2023-08-05 18:34:47.735437	https://ppgedmat.ufop.br/normas	74,55	9	72	5	61	1	4	2	7	1	0	0	0	0	0	
2023-08-05 18:34:30.935403	https://culturafotograficaufop.blogspot.com/2022/03/oitentatiros.html	69,39	47	251	20	225	2	6	23	19	1	0	0	0	1	1	
2023-08-05 18:34:16.263426	https://culturafotograficaufop.blogspot.com/search/label/Alberto%20Korda?updated-max=2020-08-05T10:00:00-03:00&max-results=20&start=20&by-date=false	79,27	26	137	4	123	1	4	20	9	0	0	0	0	1	1	
2023-08-05 18:34:20.134295	https://culturafotograficaufop.blogspot.com/search/label/Walker%20Evans	79,27	28	174	5	148	1	5	21	20	0	0	0	0	1	1	
2023-08-05 18:35:02.230253	https://jornalismo.ufop.br/?p=1832	80,92	39	87	13	59	1	6	24	10	0	8	0	0	1	4	
2023-08-05 18:34:51.992738	http://ufop.br/taxonomy/term/29?page=7	63,85	50	122	16	108	1	6	28	6	1	0	0	0	4	2	
2023-08-05 18:35:08.716298	https://nano.ufop.br/publications/professors-publications/taise-matte-manhabosco	84,77	36	112	18	85	1	5	17	22	0	0	0	0	0	0	
2023-08-05 18:35:08.466594	https://posedu.ufop.br/news/prorroga%C3%A7%C3%A3o-das-inscri%C3%A7%C3%B5es-processo-seletivo-2018?page=1	83,67	22	70	11	60	1	4	9	5	1	0	0	0	0	1	
2023-08-05 18:35:35.540814	https://aberta.ufop.br/news/webin%C3%A1rio-de-pesquisa-em-educa%C3%A7%C3%A3o	87,16	23	104	17	72	1	3	5	29	0	0	0	0	0	0	
2023-08-05 18:35:33.546511	http://www.caint.ufop.br/idiomas/parcerias/espanhol	77,36	23	103	7	94	0	4	15	2	1	0	0	0	0	3	
2023-08-05 18:35:42.114542	https://www.dri.ufop.br/en/newsletter-en/newsletters-en	81,42	11	74	4	60	0	4	5	2	1	0	0	0	1	8	
2023-08-05 18:35:51.246799	http://www.prace.ufop.br/local-republica/pilar	71,96	18	150	7	128	1	4	6	16	0	0	0	0	4	2	
2023-08-05 18:35:42.554065	https://dri.ufop.br/programas/proafri	77,36	24	108	8	98	0	4	15	3	1	0	0	0	0	3	
2023-08-05 18:35:52.038122	https://jornalismo.ufop.br/?page_id=57	80,3	20	89	7	64	1	6	11	8	0	8	0	0	1	3	
2023-08-05 18:36:00.132229	https://nano.ufop.br/people/jos%C3%A9-fl%C3%A1vio-torres-de-magalh%C3%A3es	85,57	11	56	5	36	1	6	5	14	0	0	0	0	0	0	
2023-08-05 18:35:28.025340	http://dri.ufop.br/read/1814-governo-da-colombia-oferece-bolsas-de-pos-graduacao-para-estrangeiros	77,27	27	131	8	120	0	4	18	4	1	0	0	0	0	3	
2023-08-05 18:36:09.053893	https://www.propp.ufop.br/pt-br/pos-graduacao/avaliacoes-da-capes	69,47	19	53	6	43	1	2	8	6	0	0	0	0	4	2	
2023-08-05 18:36:10.314987	https://moodle.aberta.ufop.br/course/view.php?id=129	72,86	25	126	3	112	1	7	20	3	1	0	0	0	0	4	
